File Statistics for big
==================================================

Total file size: 65921 bytes
Number of blocks (16 bytes): 4120
Remaining bytes: 1

Byte frequency analysis:
------------------------------
0xc2 (.): 82 times (0.12%)
0xe9 (.): 81 times (0.12%)
0xa3 (.): 81 times (0.12%)
0x89 (.): 81 times (0.12%)
0x64 (d): 80 times (0.12%)
0x4d (M): 79 times (0.12%)
0xd6 (.): 79 times (0.12%)
0xcb (.): 79 times (0.12%)
0x4c (L): 79 times (0.12%)
0xb0 (.): 79 times (0.12%)
0x4b (K): 79 times (0.12%)
0x19 (.): 78 times (0.12%)
0x67 (g): 78 times (0.12%)
0xc1 (.): 78 times (0.12%)
0xb3 (.): 78 times (0.12%)
0xa4 (.): 78 times (0.12%)
0x98 (.): 77 times (0.12%)
0x54 (T): 77 times (0.12%)
0xc3 (.): 76 times (0.12%)
0xda (.): 76 times (0.12%)
0x8d (.): 76 times (0.12%)
0x53 (S): 75 times (0.11%)
0x1c (.): 75 times (0.11%)
0x2d (-): 75 times (0.11%)
0xb8 (.): 75 times (0.11%)
0xa5 (.): 75 times (0.11%)
0x30 (0): 74 times (0.11%)
0x21 (!): 74 times (0.11%)
0xc5 (.): 74 times (0.11%)
0xc4 (.): 74 times (0.11%)
0x56 (V): 73 times (0.11%)
0x85 (.): 73 times (0.11%)
0xab (.): 73 times (0.11%)
0x87 (.): 73 times (0.11%)
0x41 (A): 72 times (0.11%)
0x25 (%): 72 times (0.11%)
0xb4 (.): 72 times (0.11%)
0x8a (.): 72 times (0.11%)
0xed (.): 72 times (0.11%)
0x26 (&): 71 times (0.11%)
0xb7 (.): 71 times (0.11%)
0xd0 (.): 71 times (0.11%)
0x1f (.): 71 times (0.11%)
0x3e (>): 71 times (0.11%)
0x15 (.): 70 times (0.11%)
0x91 (.): 70 times (0.11%)
0x84 (.): 70 times (0.11%)
0x8f (.): 70 times (0.11%)
0xf1 (.): 70 times (0.11%)
0x57 (W): 70 times (0.11%)
0xe4 (.): 69 times (0.10%)
0x93 (.): 69 times (0.10%)
0x8b (.): 69 times (0.10%)
0x60 (`): 69 times (0.10%)
0x28 ((): 69 times (0.10%)
0x63 (c): 69 times (0.10%)
0xa1 (.): 69 times (0.10%)
0x42 (B): 68 times (0.10%)
0xd2 (.): 68 times (0.10%)
0x99 (.): 68 times (0.10%)
0xc9 (.): 68 times (0.10%)
0x9a (.): 68 times (0.10%)
0x96 (.): 68 times (0.10%)
0xba (.): 68 times (0.10%)
0x8c (.): 68 times (0.10%)
0x6a (j): 67 times (0.10%)
0x88 (.): 67 times (0.10%)
0x86 (.): 66 times (0.10%)
0x50 (P): 65 times (0.10%)
0xa8 (.): 65 times (0.10%)
0x90 (.): 64 times (0.10%)
0x9e (.): 64 times (0.10%)
0xf3 (.): 63 times (0.10%)
0x2e (.): 63 times (0.10%)
0x3c (<): 62 times (0.09%)
0xca (.): 62 times (0.09%)
0x16 (.): 62 times (0.09%)
0xf4 (.): 62 times (0.09%)
0x9b (.): 61 times (0.09%)
0x2a (*): 60 times (0.09%)
0xaa (.): 59 times (0.09%)
0x5e (^): 56 times (0.08%)
0xad (.): 56 times (0.08%)
0x83 (.): 56 times (0.08%)
0x48 (H): 52 times (0.08%)
